keya,keyb,disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,new,change,changetype_1,changetype_2,cluster
Feb-85,365-1985,2232,2232,2,USA,365,RUS,1985,24,3,1985,7,9,1985,5,3,1,19,4,0,2,2,1,0,0,1,14,3,1,0,0,0,0,19,4,1,1,3,1,3,0,1,168,168,16,12,16,65,65,65,0,0,0,0,cluster3
365-1985,Feb-85,2232,2232,365,RUS,2,USA,1985,24,3,1985,7,9,1985,5,3,1,19,4,0,2,2,0,0,0,0,19,4,1,1,0,0,1,14,3,1,3,1,3,1,0,1,168,168,16,16,12,65,65,65,0,0,0,0,cluster2
200-1985,265-1985,2232,2232,200,UKG,265,GDR,1985,6,6,1985,7,9,1985,5,3,1,14,4,0,2,2,1,0,0,0,14,3,0,0,0,0,0,14,3,1,2,3,1,3,0,1,94,94,12,12,12,65,65,65,0,0,0,0,cluster3
265-1985,200-1985,2232,2232,265,GDR,200,UKG,1985,6,6,1985,7,9,1985,5,3,1,14,4,0,2,2,0,0,0,0,14,3,1,1,0,0,0,14,3,0,3,2,3,1,0,1,94,94,12,12,12,65,65,65,0,0,0,0,cluster2
Feb-86,365-1986,2233,2233,2,USA,365,RUS,1986,13,3,1986,13,3,1986,5,3,0,8,3,0,1,1,1,0,0,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,7,7,0,49,49,75,0,0,0,0,cluster3
365-1986,Feb-86,2233,2233,365,RUS,2,USA,1986,13,3,1986,13,3,1986,5,3,0,8,3,0,1,1,0,0,0,0,0,1,1,1,0,0,0,8,3,1,3,1,3,1,0,1,1,1,7,0,7,49,75,49,0,0,0,0,cluster2
Feb-11,41-1911,2234,2234,2,USA,41,HAI,1911,16,7,1911,3,8,1911,5,3,0,8,3,0,2,1,1,1,3,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,19,19,7,7,0,49,49,75,0,0,0,0,cluster3
41-1911,Feb-11,2234,2234,41,HAI,2,USA,1911,16,7,1911,3,8,1911,5,3,0,8,3,0,2,1,0,0,0,0,0,1,1,1,1,3,0,8,3,1,3,1,3,1,0,1,19,19,7,0,7,49,75,49,0,0,0,0,cluster2
41-1911,255-1911,2234,2234,41,HAI,255,GMY,1911,16,7,1911,3,8,1911,5,3,0,8,3,0,2,1,0,0,0,0,0,1,1,1,1,3,0,8,3,1,3,1,3,1,0,1,19,19,7,0,7,49,75,49,0,0,0,0,cluster2
255-1911,41-1911,2234,2234,255,GMY,41,HAI,1911,16,7,1911,3,8,1911,5,3,0,8,3,0,2,1,1,1,3,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,19,19,7,7,0,49,49,75,0,0,0,0,cluster3
140-1856,150-1856,2236,2236,140,BRA,150,PAR,1856,10,8,1856,12,2,1858,0,0,0,15,4,0,1,1,0,0,0,0,12,3,1,1,1,1,0,15,4,1,3,1,3,1,0,1,144,144,13,10,13,96,82,96,0,0,0,0,cluster2
140-1857,150-1857,2236,2236,140,BRA,150,PAR,1857,10,8,1856,12,2,1858,0,0,0,15,4,0,1,1,0,0,0,0,12,3,1,1,1,1,0,15,4,1,3,1,3,1,0,2,365,509,13,10,13,96,82,96,0,0,0,0,cluster2
140-1858,150-1858,2236,2236,140,BRA,150,PAR,1858,10,8,1856,12,2,1858,3,1,0,15,4,0,1,1,0,0,0,0,12,3,1,1,1,1,0,15,4,1,3,1,3,1,0,3,44,553,13,10,13,96,82,96,0,0,0,0,cluster2
150-1856,140-1856,2236,2236,150,PAR,140,BRA,1856,10,8,1856,12,2,1858,0,0,0,15,4,0,1,1,1,1,1,0,15,4,1,0,0,0,0,12,3,1,1,3,1,3,0,1,144,144,13,13,10,96,96,82,0,0,0,0,cluster3
150-1857,140-1857,2236,2236,150,PAR,140,BRA,1857,10,8,1856,12,2,1858,0,0,0,15,4,0,1,1,1,1,1,0,15,4,1,0,0,0,0,12,3,1,1,3,1,3,0,2,365,509,13,13,10,96,96,82,0,0,0,0,cluster3
